Shear wall,Floor,Length,Height,Area,Cumulated self weight,Shear,T,C,Hold-down anchor capacity,T,,Hold-down studs,,,Shear/m,,Bottom plate attachment (to foundation),,,,16d (d= 0.268 in) nails,,,16d (d= 0.268 in) nails,,,wood screws 20 (d= 0.32 in),,,SDWS log screw (d= 0.197 in),,,,,,,,,,
,,(m),(m),(m²),(kN),(kN),(kN),(kN),(kN),(kip),,,,,(kN/m),,Shear,Bolt spacement,Number of bolts,Shear/bolt,number,spacement,OK,Number/2,spacement,OK,number,spacement,OK,number,spacement,OK,,type,number,rows,bolts/row,spacement,,
W2B,2,9.20,3.35,30.85,39.80,36.86,0.00,-13.43,-,0.00,-,-,,$floor.B2,4.01,,0.00,"1,000.00",1,0.00,51.00,0.18,0,25.5,0.36,1,13.00,0.00,1,10.00,0.00,1,,16d (d= 0.268 in) nails,51,2,26,14,2 rows.,16d (d= 0.268 in) nails at 14 in. o/c; 51 fasteners in 2 rows.
W2C,2,9.20,3.35,30.85,39.80,101.65,17.15,-37.04,20.00,3.85,4.00,2,,$floor.B2,11.05,,0.00,"1,000.00",1,0.00,139.00,0.07,0,69.5,0.13,0,34.00,0.27,0,27.00,0.34,1,,SDWS log screw (d= 0.197 in),54,2,27,13,2 rows.,SDWS log screw (d= 0.197 in) at 13 in. o/c; 54 fasteners in 2 rows.
W1A,1,9.20,3.45,31.78,60.45,118.86,14.40,-44.63,20.00,3.24,3.00,1,,$floor.B1,12.92,,118.86,0.76,13,9.14,162.00,0.06,0,81,0.11,0,39.00,0.24,0,32.00,0.29,1,,SDWS log screw (d= 0.197 in),64,2,32,11,2 rows.,SDWS log screw (d= 0.197 in) at 11 in. o/c; 64 fasteners in 2 rows.
W1B,1,9.20,3.45,31.78,60.45,8.09,0.00,-3.04,-,0.00,-,-,,$floor.B1,0.88,,8.09,0.91,11,0.74,12.00,0.77,1,,0.00,1,3.00,0.00,1,3.00,0.00,1,,16d (d= 0.268 in) nails,12,1,12,32,1 row.,16d (d= 0.268 in) nails at 32 in. o/c; 12 fasteners in 1 row.
W1C,1,9.20,3.45,31.78,60.45,133.14,19.76,-49.99,20.00,4.44,4.00,2,,$floor.B1,14.47,,133.14,0.91,11,12.10,182.00,0.05,0,91,0.10,0,44.00,0.21,0,36.00,0.26,1,,SDWS log screw (d= 0.197 in),72,2,36,10,2 rows.,SDWS log screw (d= 0.197 in) at 10 in. o/c; 72 fasteners in 2 rows.
EC3A,3,9.20,3.30,30.38,19.75,30.35,1.02,-10.89,10.00,0.23,0.00,0,,$floor.B3,3.30,,0.00,"1,000.00",1,0.00,42.00,0.22,0,21,0.44,1,10.00,0.00,1,9.00,0.00,1,,16d (d= 0.268 in) nails,42,2,21,18,2 rows.,16d (d= 0.268 in) nails at 18 in. o/c; 42 fasteners in 2 rows.
EC3B,3,9.20,3.30,30.38,19.75,4.77,0.00,-1.71,-,0.00,-,-,,$floor.B3,0.52,,0.00,"1,000.00",1,0.00,7.00,1.31,1,,0.00,1,2.00,0.00,1,2.00,0.00,1,,16d (d= 0.268 in) nails,7,1,7,60,1 row.,16d (d= 0.268 in) nails at 60 in. o/c; 7 fasteners in 1 row.
EC3C,3,9.20,3.30,30.38,19.75,59.25,11.39,-21.27,20.00,2.56,3.00,1,,$floor.B3,6.44,,0.00,"1,000.00",1,0.00,81.00,0.11,0,40.5,0.23,0,20.00,0.46,1,16.00,0.00,1,,wood screws 20 (d= 0.32 in),40,2,20,19,2 rows.,wood screws 20 (d= 0.32 in) at 19 in. o/c; 40 fasteners in 2 rows.
EC2A,2,9.20,3.35,30.85,39.80,54.41,0.00,-19.83,-,0.00,-,-,,$floor.B2,5.91,,0.00,"1,000.00",1,0.00,75.00,0.12,0,37.5,0.25,0,18.00,0.51,1,15.00,0.00,1,,wood screws 20 (d= 0.32 in),36,2,18,21,2 rows.,wood screws 20 (d= 0.32 in) at 21 in. o/c; 36 fasteners in 2 rows.
EC2B,2,9.20,3.35,30.85,39.80,8.56,0.00,-3.12,-,0.00,-,-,,$floor.B2,0.93,,0.00,"1,000.00",1,0.00,12.00,0.77,1,,0.00,1,3.00,0.00,1,3.00,0.00,1,,16d (d= 0.268 in) nails,12,1,12,32,1 row.,16d (d= 0.268 in) nails at 32 in. o/c; 12 fasteners in 1 row.
EC2C,2,9.20,3.35,30.85,39.80,106.22,18.81,-38.71,20.00,4.23,4.00,2,,$floor.B2,11.55,,0.00,"1,000.00",1,0.00,145.00,0.06,0,72.5,0.13,0,35.00,0.26,0,29.00,0.32,1,,SDWS log screw (d= 0.197 in),58,2,29,12,2 rows.,SDWS log screw (d= 0.197 in) at 12 in. o/c; 58 fasteners in 2 rows.
