 Comb. , Elem. , Sect. , N , Vy , Vz , T , My , Mz 
combULS01, 29, 0, 37.8208279669, -160627.914674, 197.483307422, 0.0, -60326.3295816, 0.0
combULS01, 29, 1, 327.81201395, -160115.986847, 197.483307422, 0.0, -60027.4149928, 0.0
combULS01, 31, 0, -117.970227432, 3106.75267048, -21.4156118156, 0.0, -21316.9194118, 0.0
combULS01, 31, 1, 36.7454809157, -13596.8652499, -21.4156118156, 0.0, -3536.70045866, 0.0
combULS01, 32, 0, -63.7632687455, 8992.01350865, -39.1049116619, 0.0, -15504.3173717, 0.0
combULS01, 32, 1, 19.0241061263, -12992.8363765, -39.1049116619, 0.0, -6412.37642754, 0.0
combULS01, 33, 0, -12.7814832449, 7307.40265452, -17.4719230031, 0.0, -5211.59923485, 0.0
combULS01, 33, 1, 6.89418115131, -7300.30234541, -17.4719230031, 0.0, -5207.78846918, 0.0
combULS01, 34, 0, -69.1518200497, 12915.2709691, -64.7891788966, 0.0, -34918.0863771, 0.0
combULS01, 34, 1, 142.201404342, -54719.5245921, -64.7891788966, 0.0, -18042.6205786, 0.0
combULS01, 35, 0, 2.81181691084, 40233.3886296, -86.1484303353, 0.0, -21867.9396722, 0.0
combULS01, 35, 1, 46.5813844822, -40343.9536473, -86.1484303353, 0.0, -21848.1611304, 0.0
combULS01, 36, 0, 0.567566824488, 13036.116678, -27.8168264363, 0.0, -6442.51960025, 0.0
combULS01, 36, 1, -0.77985679776, -9023.36659922, -27.8168264363, 0.0, -15520.3160447, 0.0
combULS01, 37, 0, 37.8208279477, 160627.914674, -197.483307411, 0.0, -60326.3295817, 0.0
combULS01, 37, 1, 327.812013948, -160115.986847, -197.483307411, 0.0, -60027.4149928, 0.0
combULS01, 38, 0, 10.5452621664, 54917.2712805, -67.7062141828, 0.0, -18149.8998121, 0.0
combULS01, 38, 1, -14.0454705408, -13477.4696012, -67.7062141828, 0.0, -35011.8571104, 0.0
combULS01, 39, 0, 3.77643468417, 13672.4357963, -19.0289392676, 0.0, -3585.55136294, 0.0
