comb,floor,truss,Rx,Ry,Rz,Rx,Ry,Rz,truss,Rx,Ry,Rz,Rx,Ry,Rz
,,name,(kN),(kN),(kN),(kN),(kN),(kN),name,(kN),(kN),(kN),(kN),(kN),(kN)
EQ1608,2nd floor,2C,2.2815527245256816e-14,0.0,3.039255613935658,-5.727900710501331,0.0,5.165543559397198,2D,1.4551915228366852e-14,0.0,5.28507124649827,5.727900710501584,0.0,3.162528551223395
EQ1609,2nd floor,2C,8.400036222155904e-14,0.0,8.192241584270743,-15.423483700754748,0.0,13.240783883052513,2D,2.9103830456733704e-14,0.0,13.557948467361939,15.423483700755444,0.0,8.520537586768564
EQ1610,2nd floor,2C,2.2815527245256816e-14,0.0,3.039255613935658,-5.727900710501331,0.0,5.165543559397198,2D,1.4551915228366852e-14,0.0,5.28507124649827,5.727900710501584,0.0,3.162528551223395
EQ1611,2nd floor,2C,9.29105681279907e-14,0.0,6.903995091686959,-12.999587953191378,0.0,11.221973802138681,2D,3.092281986027956e-14,0.0,11.489729162146018,12.999587953191975,0.0,7.181035327882278
EQ1612,2nd floor,2C,2.2815527245256816e-14,0.0,3.039255613935658,-5.727900710501331,0.0,5.165543559397198,2D,1.4551915228366852e-14,0.0,5.28507124649827,5.727900710501584,0.0,3.162528551223395
EQ1613,2nd floor,2C,9.29105681279907e-14,0.0,6.903995091686959,-12.999587953191378,0.0,11.221973802138681,2D,3.092281986027956e-14,0.0,11.489729162146018,12.999587953191975,0.0,7.181035327882278
EQ1615,2nd floor,2C,3.0460967082035494e-14,0.0,1.8235534408228984,-3.4367405628645935,0.0,3.0993262587944748,2D,2.2737367544323206e-15,0.0,3.171042873904888,3.4367405628647503,0.0,1.8975172061345946
LIVE,2nd floor,2C,9.207212769979378e-14,0.0,5.152985970335092,-9.695582990253417,0.0,8.075240323655311,2D,2.1827872842550278e-14,0.0,8.272877220863673,9.69558299025385,0.0,5.358009035545175
