comb,floor,truss,Rx,Ry,Rz,Rx,Ry,Rz,truss,Rx,Ry,Rz,Rx,Ry,Rz
,,name,(kN),(kN),(kN),(kN),(kN),(kN),name,(kN),(kN),(kN),(kN),(kN),(kN)
EQ1608,2nd floor,2A,-3.4354741274000843e-15,0.0,1.6188642519008116,2.7901236876459735e-14,0.0,1.6188642519007204,2B,-1.7955414932657733e-14,0.0,1.5446445385296301,7.894662701346533e-14,0.0,1.544644538529636
EQ1609,2nd floor,2A,-5.3319126891437915e-14,0.0,4.668717435900139,8.617462299298495e-14,0.0,4.6687174358998735,2B,-2.911093588409131e-14,0.0,4.460717344929921,2.2070167915444472e-13,0.0,4.460717344929948
EQ1610,2nd floor,2A,-3.4354741274000843e-15,0.0,1.6188642519008116,2.7901236876459735e-14,0.0,1.6188642519007204,2B,-1.7955414932657733e-14,0.0,1.5446445385296301,7.894662701346533e-14,0.0,1.544644538529636
EQ1611,2nd floor,2A,-1.0714984455262311e-14,0.0,3.906254139900312,4.11262135457946e-14,0.0,3.9062541399000916,2B,-2.077626959362533e-14,0.0,3.7316991433298434,1.865316789917415e-13,0.0,3.7316991433298727
EQ1612,2nd floor,2A,-3.4354741274000843e-15,0.0,1.6188642519008116,2.7901236876459735e-14,0.0,1.6188642519007204,2B,-1.7955414932657733e-14,0.0,1.5446445385296301,7.894662701346533e-14,0.0,1.544644538529636
EQ1613,2nd floor,2A,-1.0714984455262311e-14,0.0,3.906254139900312,4.11262135457946e-14,0.0,3.9062541399000916,2B,-2.077626959362533e-14,0.0,3.7316991433298434,1.865316789917415e-13,0.0,3.7316991433298727
EQ1615,2nd floor,2A,-8.806289031326741e-15,0.0,0.9713185897372179,1.4424017535930032e-14,0.0,0.9713185897371651,2B,-1.6535217639557232e-14,0.0,0.9267867599449751,4.5853099095438663e-14,0.0,0.9267867599449766
LIVE,2nd floor,2A,-8.959943897934863e-15,0.0,3.049853183999333,4.6128434405545704e-14,0.0,3.049853183999151,2B,-3.2031266528065316e-14,0.0,2.9160728064003005,1.4771472933716724e-13,0.0,2.916072806400315
