comb,floor,truss,Rx,Ry,Rz,Rx,Ry,Rz,truss,Rx,Ry,Rz,Rx,Ry,Rz
,,name,(kN),(kN),(kN),(kN),(kN),(kN),name,(kN),(kN),(kN),(kN),(kN),(kN)
EQ1608,2nd floor,2C,4.1584513610359864e-14,0.0,3.3172586871016043,-6.208358806273162,0.0,4.987962109984239,2D,1.1823431123048067e-14,0.0,4.81307536593612,6.208358806273255,0.0,3.1613826599513577
EQ1609,2nd floor,2C,-6.131983809609665e-14,0.0,8.942063660294492,-16.717281190332915,0.0,12.92171825386805,2D,1.4551915228366852e-14,0.0,12.445428606405729,16.71728119033318,0.0,8.517465652805683
EQ1610,2nd floor,2C,4.1584513610359864e-14,0.0,3.3172586871016043,-6.208358806273162,0.0,4.987962109984239,2D,1.1823431123048067e-14,0.0,4.81307536593612,6.208358806273255,0.0,3.1613826599513577
EQ1611,2nd floor,2C,-1.3159251466277056e-14,0.0,7.535862416996264,-14.090050594317983,0.0,10.938279217897078,2D,4.9112713895738124e-14,0.0,10.537340296288317,14.090050594318203,0.0,7.178444904592116
EQ1612,2nd floor,2C,4.1584513610359864e-14,0.0,3.3172586871016043,-6.208358806273162,0.0,4.987962109984239,2D,1.1823431123048067e-14,0.0,4.81307536593612,6.208358806273255,0.0,3.1613826599513577
EQ1613,2nd floor,2C,-1.3159251466277056e-14,0.0,7.535862416996264,-14.090050594317983,0.0,10.938279217897078,2D,4.9112713895738124e-14,0.0,10.537340296288317,14.090050594318203,0.0,7.178444904592116
EQ1615,2nd floor,2C,-7.361222742474638e-15,0.0,1.9903552913505742,-3.725015431782703,0.0,2.9927773849128245,2D,1.0459189070388675e-14,0.0,2.8878453343143264,3.7250154317827637,0.0,1.8968296713440504
LIVE,2nd floor,2C,4.304467893234687e-14,0.0,5.624804973192885,-10.508922384059767,0.0,7.933756143883802,2D,0.0,0.0,7.632353240469608,10.508922384059922,0.0,5.356082992854332
