comb,floor,truss,Rx,Ry,Rz,Rx,Ry,Rz,truss,Rx,Ry,Rz,Rx,Ry,Rz
,,name,(kN),(kN),(kN),(kN),(kN),(kN),name,(kN),(kN),(kN),(kN),(kN),(kN)
EQ1608,roof,3A,1.0025758001575014e-14,0.0,2.1728678491615137,1.759588030836312e-13,0.0,2.186044242566686,3B,1.4781065260649484e-14,0.0,1.759932242548697,-1.0797585048294422e-13,0.0,1.771882301226353
EQ1609,roof,3A,-5.703526539946324e-14,0.0,5.4568074331613525,4.4037307134203727e-13,0.0,5.469983826566249,3B,8.718359367776429e-14,0.0,4.910091448948657,-3.000195647473447e-13,0.0,4.922041507626302
EQ1610,roof,3A,-1.3176304491935298e-13,0.0,9.048616353161181,7.262030976562527e-13,0.0,9.061792746565784,3B,5.81366066398914e-14,0.0,8.355578080948606,-5.198472763368045e-13,0.0,8.367528139626248
EQ1611,roof,3A,-3.306865892227506e-14,0.0,9.79263391516115,7.661355994059704e-13,0.0,9.805810308565674,3B,-1.476578859183064e-13,0.0,9.069286026148594,-5.59836621505383e-13,0.0,9.081236084826237
EQ1612,roof,3A,1.1601830607332885e-15,0.0,-0.43375929921641243,-3.434230677612504e-14,0.0,-0.42058290581102525,3B,8.260059303211165e-16,0.0,-0.7405067268897803,4.4787284991798517e-14,0.0,-0.7285566682121208
EQ1613,roof,3A,-4.843059286940843e-14,0.0,7.837663683350263,6.511697847599863e-13,0.0,7.850840076754974,3B,1.2821033124055248e-13,0.0,7.19395692326787,-4.489493221626617e-13,0.0,7.205906981945526
EQ1615,roof,3A,-1.8918200339612667e-15,0.0,-1.3029063870758115,-1.042756991864735e-13,0.0,-1.2950005507183426,3B,-3.283773253315303e-14,0.0,-1.4444795819492053,8.94431195774814e-14,0.0,-1.437309546457696
LIVE,roof,3A,-4.4295234147284645e-14,0.0,3.283939583999841,2.6482638304514695e-13,0.0,3.2839395839995684,3B,7.23758830645238e-14,0.0,3.150159206399955,-1.9489476699163787e-13,0.0,3.150159206399947
