comb,floor,truss,Rx,Ry,Rz,Rx,Ry,Rz,truss,Rx,Ry,Rz,Rx,Ry,Rz
,,name,(kN),(kN),(kN),(kN),(kN),(kN),name,(kN),(kN),(kN),(kN),(kN),(kN)
EQ1608,2nd floor,2A,-3.913669388566632e-14,0.0,1.7418461216573526,2.0628831975955108e-14,0.0,1.7418461216573582,2B,1.1928236176572682e-14,0.0,1.6676106642816586,1.483098088783663e-13,0.0,1.6676106642817268
EQ1609,2nd floor,2A,-7.487699349439936e-14,0.0,5.025785705657995,6.396305707312422e-14,0.0,5.025785705657995,2B,5.121592039358802e-14,0.0,4.817769870682288,4.2864911620199563e-13,0.0,4.817769870682494
EQ1610,2nd floor,2A,-3.913669388566632e-14,0.0,1.7418461216573526,2.0628831975955108e-14,0.0,1.7418461216573582,2B,1.1928236176572682e-14,0.0,1.6676106642816586,1.483098088783663e-13,0.0,1.6676106642817268
EQ1611,2nd floor,2A,-1.970335006262758e-14,0.0,4.204800809657832,7.428013759636088e-14,0.0,4.204800809657852,2B,2.205524651799351e-14,0.0,4.030230069082128,3.6288128058004075e-13,0.0,4.030230069082299
EQ1612,2nd floor,2A,-3.913669388566632e-14,0.0,1.7418461216573526,2.0628831975955108e-14,0.0,1.7418461216573582,2B,1.1928236176572682e-14,0.0,1.6676106642816586,1.483098088783663e-13,0.0,1.6676106642817268
EQ1613,2nd floor,2A,-1.970335006262758e-14,0.0,4.204800809657832,7.428013759636088e-14,0.0,4.204800809657852,2B,2.205524651799351e-14,0.0,4.030230069082128,3.6288128058004075e-13,0.0,4.030230069082299
EQ1615,2nd floor,2A,-6.752820524980052e-15,0.0,1.04510771452326,8.025580200410331e-15,0.0,1.0451077145232643,2B,1.5021761612388218e-14,0.0,1.000566438327927,8.753708868880495e-14,0.0,1.0005664383279727
LIVE,2nd floor,2A,-3.502975687297294e-14,0.0,3.283939584000641,7.027267656667391e-15,0.0,3.283939584000634,2B,2.913225216616411e-16,0.0,3.150159206400624,2.8263968943065264e-13,0.0,3.1501592064007573
