comb,floor,truss,Rx,Ry,Rz,Rx,Ry,Rz,truss,Rx,Ry,Rz,Rx,Ry,Rz
,,name,(kN),(kN),(kN),(kN),(kN),(kN),name,(kN),(kN),(kN),(kN),(kN),(kN)
EQ1608, roof,3C,1.8267609647182325e-14,0.0,1.9237985539996998,-4.605439172459709,0.0,2.962950230821576,3D,-4.7327339416369795e-09,0.0,3.1259274595954007,4.605439177192551,0.0,2.105337731750392
EQ1609, roof,3C,1.0370193592734722e-13,0.0,4.850990464399505,-10.4482268474311,0.0,6.9638790672109385,3D,-1.0737003321992233e-08,0.0,6.871388691486313,10.448226858168367,0.0,4.777016870845406
EQ1610, roof,3C,-5.1390003363849245e-14,0.0,8.052606616399304,-16.83877586693106,0.0,11.339894982011804,3D,-1.7304177163168788e-08,0.0,10.967986913867035,16.83877588423567,0.0,7.699165929230579
EQ1611, roof,3C,8.527578643224842e-14,0.0,8.715798533599246,-18.16253244954178,0.0,12.246355421506273,3D,-1.866454113041982e-08,0.0,11.816567974217293,18.16253246820676,0.0,8.30446823418179
EQ1612, roof,3C,-2.0770052344687427e-15,0.0,-0.39966011720609296,0.03227372883497821,0.0,-0.21278715925494,3D,3.316574748168932e-11,0.0,0.15296748864716514,-0.032273728868150144,0.0,-0.015307669173149257
EQ1613, roof,3C,3.528199954416777e-14,0.0,6.9732046456023555,-14.684248003928442,0.0,9.864552536689455,3D,-1.5090105080162174e-08,0.0,9.586848143674649,14.684248019018911,0.0,6.7139842888227275
EQ1615, roof,3C,-1.7411849739801254e-14,0.0,-1.1691794929390427,1.8744492880166361,0.0,-1.3979671809413312,3D,1.9262581645307362e-09,0.0,-1.0974034206630745,-1.8744492899429435,0.0,-0.8574427116781421
LIVE, roof,3C,5.3921311859994604e-14,0.0,2.9271919103998063,-5.842787674971396,0.0,4.000928836389362,3D,-6.004275746818166e-09,0.0,3.7454612318909204,5.842787680975815,0.0,2.6716791390950125
