North,SnowL,562278.3075169725
North,LiveL,1211113.4345814036
North,Wind_NS,-845031.2227874491
North,Wind_WE,-74308.88037023376
North,DeadL,1762410.23721101
South,SnowL,449192.3693313469
South,LiveL,794491.5305473965
South,Wind_NS,277907.8652190538
South,Wind_WE,-12749.929522848392
South,DeadL,1149863.2683382411
East,SnowL,587347.869952698
East,LiveL,1166074.7757866727
East,Wind_NS,-3545.877753444992
East,Wind_WE,636673.6881361648
East,DeadL,1515750.403352151
West,SnowL,737578.4254600253
West,LiveL,1333226.2443960106
West,Wind_NS,-9722.88410605027
West,Wind_WE,-648437.5047502189
West,DeadL,1463742.2582361717
